区域	商品住房	写字楼	商业	其他	合计
成交套数	成交面积	成交套数	成交面积	成交套数	成交面积	成交套数	成交面积	成交套数	成交面积
江岸区	26	2827.09	0	0	1	37.52	14	257.35	41	3121.96
江汉区	15	1294.26	1	49.15	0	0	0	0	16	1343.41
硚口区	0	0	0	0	15	765.62	0	0	15	765.62
汉阳区	5	451.52	2	117.3	1	40.28	0	0	8	609.1
青山区	2	180.31	0	0	9	1184.74	0	0	11	1365.05
武昌区	33	3182.57	32	3081.53	10	745.41	0	0	75	7009.51
洪山区	31	2889.84	0	0	19	1990.3	4	105.12	54	4985.26
东西湖区	6	917.48	0	0	1	19.49	9	824.6	16	1761.57
东湖高新区	49	4947.82	7	1013.59	8	472.9	0	0	64	6434.31
经济开发区	0	0	1	47.21	0	0	1	57.44	2	104.65
江夏区	16	1639.32	0	0	2	110.59	1	32.07	19	1781.98
黄陂区	23	2258.89	0	0	3	331.94	35	6681.36	61	9272.19
蔡甸区	12	1496.41	0	0	6	564.41	0	0	18	2060.82
新洲区	21	2241.2	0	0	0	0	0	0	21	2241.2
汉南区	1	98.36	0	0	0	0	0	0	1	98.36
合计	240	24425.07	43	4308.78	75	6263.2	64	7957.94	422	42954.99
